keyword,video_url,video_caption,author_username,author_url,following_count,followers_count,likes_count
beautiful destinations,https://www.tiktok.com/@vacations/video/7336209728869010690,Most Beautiful Places in the US 🤩🇺🇸 #adventure #travel,vacations,https://www.tiktok.com/@vacations,0,318500,9300000
beautiful destinations,https://www.tiktok.com/@healingtravelscenery/video/7261752335876017414,#scenery #flowergarden #heallingtime #travel,healingtravelscenery,https://www.tiktok.com/@healingtravelscenery,47,516400,8500000
